id	a1	a2
4	P11	P24
2	P18	P21
6	P8	P24
5	P24	P45
1	P21	P36
3	P15	P22
4	P24	P17
2	P21	P22
6	P24	P23
5	P45	P23
1	P36	P31
3	P22	P39
14	P1	P2
13	P2	P6
45	P1	P6
23	P22	P24
30	P4	P24
15	P9	P35
22	P19	P25
8	P4	P14
9	P13	P20
10	P12	P20
11	P12	P20
7	P21	P29
12	P26	P28
31	P7	P27
48	P1	P17
47	P28	P38
32	P27	P37
33	P37	P43
43	P14	P28
49	P17	P27
27	P22	P35
41	P1	P37
19	P1	P37
26	P5	P22
29	P24	P32
35	P5	P8
34	P33	P43
24	P8	P16
25	P12	P22
42	P14	P17
44	P14	P17
40	P28	P35
28	P4	P22
46	P5	P36
21	P34	P37
39	P25	P42
20	P40	P47
38	P27	P32
16	P27	P32
17	P17	P25
18	P25	P33
36	P5	P8
37	P8	P35
14	P2	P46
13	P6	P46
45	P6	P44
23	P24	P36
30	P24	P40
15	P35	P41
22	P25	P35
8	P14	P20
9	P20	P36
10	P20	P38
11	P20	P51
7	P29	P38
12	P28	P33
31	P27	P43
48	P17	P25
47	P38	P53
32	P37	P43
33	P43	P53
43	P28	P38
49	P27	P38
27	P35	P36
41	P37	P48
19	P37	P49
26	P22	P35
29	P32	P52
35	P8	P38
34	P43	P53
24	P16	P22
25	P22	P53
42	P17	P28
44	P17	P27
40	P35	P48
28	P22	P35
46	P36	P37
21	P37	P42
39	P42	P48
20	P47	P49
38	P32	P50
16	P32	P49
17	P25	P49
18	P33	P49
36	P8	P38
37	P35	P38
14	P46	P3
13	P46	P4
45	P44	P4
23	P36	P5
30	P40	P5
15	P41	P10
22	P35	P10
8	P20	P12
9	P36	P12
10	P38	P16
11	P51	P16
7	P38	P22
12	P33	P25
31	P43	P25
48	P25	P27
47	P53	P27
32	P43	P28
33	P53	P28
43	P38	P29
49	P38	P29
27	P36	P30
41	P48	P32
19	P49	P32
26	P35	P33
29	P52	P33
35	P38	P35
34	P53	P35
24	P22	P36
25	P53	P36
42	P28	P37
44	P27	P37
40	P48	P38
28	P35	P38
46	P37	P39
21	P42	P40
39	P48	P41
20	P49	P41
38	P50	P48
16	P49	P48
17	P49	P50
18	P49	P50
36	P38	P51
37	P38	P53
51	P4	P27
50	P4	P5
51	P27	P33
50	P5	P38
51	P33	P53
50	P38	P40
51	P53	P51
50	P40	P53
